proposal_id,objective,family,family_name,class,overview,rationale,test_method,variation
A0001,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: carry_audjpy_d1
B0001,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pairtrade_eurusd_gbpusd
A0002,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4
B0002,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4
A0003,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_usdjpy_h4
B0003,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_eurusd_h1
A0004,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_gbpusd_h4
B0004,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: rsi_robust_usdjpy_h4
A0005,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_gbpjpy_m15
B0005,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: sca_usdjpy_m15
A0006,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: bfxrev_btcusd_d1
B0006,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: eth_ea_d1
A0007,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: fundingrev_btcusd_d1
B0007,B,B_composition_xm,XM口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: pullback_gold_h4
A0008,A,A_composition_xm,XM口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,XM: sca_gold_m15
B0008,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pairtrade_eurusd_gbpusd;carry_audjpy_d1
A0009,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;carry_audjpy_d1
B0009,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;pairtrade_eurusd_gbpusd
A0010,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_eurusd_h1
B0010,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_gbpusd_h4
A0011,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;rsi_robust_usdjpy_h4
B0011,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;sca_gbpjpy_m15
A0012,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_audjpy_h4;sca_usdjpy_m15
B0012,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;carry_audjpy_d1
A0013,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;pairtrade_eurusd_gbpusd
B0013,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;pullback_audjpy_h4
A0014,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;rsi_robust_eurusd_h1
B0014,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;rsi_robust_gbpusd_h4
A0015,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;rsi_robust_usdjpy_h4
B0015,B,B_composition_oanda,OANDA口座の枠構成再設計,1,損失タイミングが重なる枠を外してDDを下げる,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;sca_gbpjpy_m15
A0016,A,A_composition_oanda,OANDA口座の枠構成再設計,1,純利益/PFを保つ枠だけに絞る,独立EAの発注列は他枠の有無で変わらないため、実MT5 dealの口座合算で正確に比較可能,各本番EAの実バックテストdealをIS/OOS別に時系列合算。SCA元実行はevery_tick,OANDA: pullback_gbpjpy_h4;sca_usdjpy_m15
